Tweets,Classified,FreqWord
 world bank natural hazards know borders together combat drought rude de se ification httptcolkpywelcam,Negative,severe
 heat drought feed wildfires italy beaches near threatened httpcokgnzutxss,Negative,drought
 heat drought feed wildfires italy beaches near threatened httpcokgnzutxss,Negative,heat
 experiencing one hell drought,Negative,drought
 laughing cause drought ended uaubdedubu,Positive,drought
 four year drought lakes back top,Moderately Positive,drought
 heat drought feed wildfires italy beaches near threatened http crying loud laughing loud qg jr mt,Negative,drought
 heat drought feed wildfires italy beaches near threatened http crying loud laughing loud qg jr mt,Negative,heat
 edu aube edu bu football season almost drought almost ed uaubdedubuaeduaubdedubua,Moderately Positive,drought
 edu aube edu bu football season almost drought almost ed uaubdedubuaeduaubdedubua,Moderately Positive,business
 e marina nicole instant message drought run,Positive,drought
 e marina nicole instant message drought run,Positive,water
 e marina nicole instant message drought run,Positive,farmers
 e marina nicole instant message drought run,Positive,heat
 e marina nicole instant message drought run,Positive,severe
 e marina nicole instant message drought run,Positive,economy
 e marina nicole instant message drought run,Positive,business
 heat drought feed wildfires italy beaches near threatened httpcoghfdgv food thought,Negative,drought
 heat drought feed wildfires italy beaches near threatened httpcoghfdgv food thought,Negative,heat
 drought wheezy gives life,Positive,drought
 collarbone nous rain crops drought j trough,Positive,drought
 collarbone nous rain crops drought j trough,Positive,crops
 collarbone nous rain crops drought j trough,Positive,crops
 systemic failure million californians lack safe drinking water water deeply,Negative,water
 systemic failure million californians lack safe drinking water water deeply,Negative,water
 issue drought eduaubdedubuad,Positive,drought
 young million adyontrabouuuuu drought eduaubdedubuad,Positive,drought
 neville rooney end ever tons trophy drought httpcocryingeyesjebfkdp,Positive,drought
 neville rooney end ever tons trophy drought httpcocryingeyesjebfkdp,Positive,severe
